Mission,Sat. ver.,COSPAR ID,Deployed sats
Group 12-10,v2 mini,2025-089,23
Group 6-75,v2 mini,2025-091,28
Group 6-84,v2 mini,2025-092,29
Group 6-93,v2 mini,2025-093,28
Group 15-3,v2 mini,2025-094,26
Group 6-91,v2 mini,2025-095,28
Group 15-4,v2 mini,2025-098,26
Group 6-83,v2 mini,2025-099,28
Group 6-67,v2 mini,2025-101,28
Group 15-5,v2 mini,2025-102,26
Group 12-15,v2 mini,2025-107,23
Group 11-16,v2 mini,2025-110,27
Group 12-22,v2 mini,2025-111,23
Group 17-1,v2 mini,2025-112,24
Group 10-32,v2 mini,2025-113,27
Group 11-18,v2 mini,2025-117,27
Group 12-19,v2 mini,2025-119,23
Group 11-22,v2 mini,2025-120,27
Group 15-8,v2 mini,2025-123,26
Group 12-24,v2 mini,2025-124,23
Group 15-6,v2 mini,2025-126,26
Group 12-26,v2 mini,2025-127,23
Group 15-9,v2 mini,2025-129,26
Group 10-18,v2 mini,2025-130,28
Group 10-23,v2 mini,2025-133,27
Group 10-16,v2 mini,2025-137,27
Group 10-34,v2 mini,2025-139,27
Group 15-7,v2 mini,2025-142,26
Group 10-25,v2 mini,2025-144,27
Group 10-28,v2 mini,2025-147,28
Group 15-2,v2 mini,2025-150,26
Group 17-3,v2 mini,2025-152,24
Group 10-26,v2 mini,2025-157,28
Group 17-2,v2 mini,2025-158,24
Group 10-29,v2 mini,2025-161,28
Group 13-4,v2 mini,2025-165,19
Group 10-30,v2 mini,2025-167,28
Group 17-4,v2 mini,2025-175,24
Group 10-20,v2 mini,2025-176,28
Group 17-5,v2 mini,2025-179,24
Group 17-6,v2 mini,2025-184,24
Group 10-56,v2 mini,2025-189,28
Group 10-11,v2 mini,2025-190,28
Group 17-7,v2 mini,2025-191,24
Group 10-14,v2 mini,2025-192,28
Group 17-8,v2 mini,2025-194,24
Group 10-22,v2 mini,2025-195,28
Group 10-57,v2 mini,2025-198,28
Group 17-9,v2 mini,2025-200,24
Group 17-10,v2 mini,2025-207,24
Group 10-61,v2 mini,2025-210,28
Group 17-12,v2 mini,2025-211,24
Group 10-27,v2 mini,2025-212,28
Group 10-15,v2 mini,2025-216,28
Group 17-11,v2 mini,2025-218,24
Group 11-20,v2 mini,2025-221,28
Group 11-39,v2 mini,2025-223,28
Group 10-59,v2 mini,2025-224,28
Group 11-17,v2 mini,2025-225,28
Group 10-52,v2 mini,2025-232,28
Group 10-17,v2 mini,2025-235,28
Group 11-19,v2 mini,2025-236,28
Group 11-5,v2 mini,2025-237,28
Group 11-12,v2 mini,2025-240,28
Group 10-21,v2 mini,2025-243,28
Group 11-21,v2 mini,2025-244,28
Group 10-37,v2 mini,2025-245,29
Group 11-23,v2 mini,2025-247,28
Group 6-81,v2 mini,2025-253,29
Group 11-14,v2 mini,2025-254,28
Group 10-51,v2 mini,2025-257,29
Group 6-87,v2 mini,2025-259,29
Group 6-89,v2 mini,2025-262,29
Group 6-85,v2 mini,2025-263,29
Group 6-94,v2 mini,2025-265,29
Group 6-78,v2 mini,2025-268,29
Group 6-79,v2 mini,2025-270,29
Group 11-30,v2 mini,2025-271,28
Group 6-86,v2 mini,2025-278,29
Group 15-10,v2 mini,2025-280,27
Group 6-95,v2 mini,2025-281,29
Group 11-25,v2 mini,2025-283,28
Group 11-15,v2 mini,2025-286,28
Group 6-92,v2 mini,2025-288,29
Group 15-11,v2 mini,2025-293,27
Group 6-90,v2 mini,2025-294,29
Group 15-12,v2 mini,2025-298,27
Group 6-82,v2 mini,2025-299,29
Group 6-99,v2 mini,2025-303,29
Group 15-13,v2 mini,2025-304,27
Group 6-88,v2 mini,2026-002,29
Group 6-96,v2 mini,2026-003,29
Group 6-97,v2 mini,2026-005,29
Group 6-98,v2 mini,2026-008,29
Group 6-100,v2 mini,2026-012,29
Group 17-30,v2 mini,2026-014,25
Group 17-20,v2 mini,2026-016,25
Group 17-19,v2 mini,2026-018,25
Group 6-101,v2 mini,2026-020,29
Group 17-32,v2 mini,2026-022,25
Group 17-33,v2 mini,2026-025,25
Group 17-34,v2 mini,2026-026,24
Group 17-13,v2 mini,2026-032,24
Group 6-103,v2 mini,2026-033,29
Group 10-36,v2 mini,2026-034,29
Group 17-25,v2 mini,2026-035,25
Group 6-104,v2 mini,2026-036,28
Group 6-110,v2 mini,2026-037,29
Group 17-26,v2 mini,2026-038,25
Group 6-108,v2 mini,2026-039,29
Group 17-23,v2 mini,2026-040,25
Group 10-41,v2 mini,2026-041,29
Group 10-40,v2 mini,2026-042,29
Group 17-18,v2 mini,2026-044,25
Group 17-31,v2 mini,2026-049,25
Group 10-48,v2 mini,2026-050,29
Group 17-24,v2 mini,2026-053,25
Group 10-46,v2 mini,2026-054,29
Group 10-33,v2 mini,2026-055,29
Group 17-15,v2 mini,2026-057,25
Group 10-62,v2 mini,2026-059,29
Group 17-17,v2 mini,2026-063,25
Group 10-44,v2 mini,2026-068,29
Group 10-58,v2 mini,2026-070,29
Group 17-35,v2 mini,2026-073,25
Group 17-21,v2 mini,2026-077,25
Group 10-24,v2 mini,2026-081,29
Group 17-27,v2 mini,2026-082,25
Group 10-50,v2 mini,2026-154,29
Group 17-52,v2 mini,2026-175,24
